#TYPE System.Diagnostics.Process
"Name","SI","Handles","VM","WS","PM","NPM","Path","Company","CPU","FileVersion","ProductVersion","Description","Product","__NounName","BasePriority","ExitCode","HasExited","ExitTime","Handle","SafeHandle","HandleCount","Id","MachineName","MainWindowHandle","MainWindowTitle","MainModule","MaxWorkingSet","MinWorkingSet","Modules","NonpagedSystemMemorySize","NonpagedSystemMemorySize64","PagedMemorySize","PagedMemorySize64","PagedSystemMemorySize","PagedSystemMemorySize64","PeakPagedMemorySize","PeakPagedMemorySize64","PeakWorkingSet","PeakWorkingSet64","PeakVirtualMemorySize","PeakVirtualMemorySize64","PriorityBoostEnabled","PriorityClass","PrivateMemorySize","PrivateMemorySize64","PrivilegedProcessorTime","ProcessName","ProcessorAffinity","Responding","SessionId","StartInfo","StartTime","SynchronizingObject","Threads","TotalProcessorTime","UserProcessorTime","VirtualMemorySize","VirtualMemorySize64","EnableRaisingEvents","StandardInput","StandardOutput","StandardError","WorkingSet","WorkingSet64","Site","Container"
"AcrobatNotificationClient","4","413","286109696","2686976","9105408","23432","C:\Program Files\WindowsApps\AcrobatNotificationClient_1.0.4.0_x86__e1rzdqpraam7r\AcrobatNotificationClient.exe",,"0.21875",,,,,"Process","8",,"False",,"1904","Microsoft.Win32.SafeHandles.SafeProcessHandle","413","3916",".","0","","System.Diagnostics.ProcessModule (AcrobatNotificationClient.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","23432","23432","9105408","9105408","461960","461960","10174464","10174464","38834176","38834176","318599168","318599168","True","Normal","9105408","9105408","00:00:00.1406250","AcrobatNotificationClient","255","True","4","System.Diagnostics.ProcessStartInfo","9/29/2021 8:36:42 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.2187500","00:00:00.0781250","286109696","286109696","False",,,,"2686976","2686976",,
"acrotray","4","210","155238400","13205504","3403776","13440","D:\Adobe\Acrobat DC\Acrobat\acrotray.exe","Adobe Systems Inc.","0.03125","21.7.20091.452390","21.7.20091.452390","AcroTray","AcroTray - Adobe Acrobat Distiller helper application.","Process","8",,"False",,"1612","Microsoft.Win32.SafeHandles.SafeProcessHandle","210","4312",".","0","","System.Diagnostics.ProcessModule (acrotray.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","13440","13440","3403776","3403776","168936","168936","4005888","4005888","13574144","13574144","172126208","172126208","True","Normal","3403776","3403776","00:00:00.0156250","acrotray","255","True","4","System.Diagnostics.ProcessStartInfo","9/29/2021 8:34:44 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.0312500","00:00:00.0156250","155238400","155238400","False",,,,"13205504","13205504",,
"Adobe CEF Helper","4","379","2203651403776","10694656","11956224","22944","C:\Program Files\Common Files\Adobe\Adobe Desktop Common\HEX\Adobe CEF Helper.exe","Adobe Inc.","1.84375","5.5.0.617","5.5.0.617","Adobe CEF Helper","Adobe CEF Helper","Process","6",,"False",,"4900","Microsoft.Win32.SafeHandles.SafeProcessHandle","379","4016",".","0","","System.Diagnostics.ProcessModule (Adobe CEF Helper.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","22944","22944","11956224","11956224","562552","562552","12238848","12238848","30609408","30609408","341045248","2203659268096","True","BelowNormal","11956224","11956224","00:00:01.0781250","Adobe CEF Helper","255","True","4","System.Diagnostics.ProcessStartInfo","9/29/2021 8:36:20 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:01.8437500","00:00:00.7656250","333180928","2203651403776","False",,,,"10694656","10694656",,
"Adobe CEF Helper","4","376","2208005767168","6537216","29880320","25488","C:\Program Files\Common Files\Adobe\Adobe Desktop Common\HEX\Adobe CEF Helper.exe","Adobe Inc.","2.09375","5.5.0.617","5.5.0.617","Adobe CEF Helper","Adobe CEF Helper","Process","8",,"False",,"5868","Microsoft.Win32.SafeHandles.SafeProcessHandle","376","15840",".","0","","System.Diagnostics.ProcessModule (Adobe CEF Helper.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","25488","25488","29880320","29880320","589496","589496","48492544","48492544","78774272","78774272","332427264","2212240584704","True","Normal","29880320","29880320","00:00:00.8750000","Adobe CEF Helper","255","True","4","System.Diagnostics.ProcessStartInfo","9/29/2021 8:36:21 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:02.0937500","00:00:01.2187500","392577024","2208005767168","False",,,,"6537216","6537216",,
"Adobe CEF Helper","4","440","2208029597696","7835648","37076992","28752","C:\Program Files\Common Files\Adobe\Adobe Desktop Common\HEX\Adobe CEF Helper.exe","Adobe Inc.","2.109375","5.5.0.617","5.5.0.617","Adobe CEF Helper","Adobe CEF Helper","Process","8",,"False",,"6164","Microsoft.Win32.SafeHandles.SafeProcessHandle","440","18976",".","0","","System.Diagnostics.ProcessModule (Adobe CEF Helper.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","28752","28752","37076992","37076992","631672","631672","70029312","70029312","130977792","130977792","331313152","2212239470592","True","Normal","37076992","37076992","00:00:00.7343750","Adobe CEF Helper","255","True","4","System.Diagnostics.ProcessStartInfo","9/29/2021 8:36:24 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:02.1093750","00:00:01.3750000","416407552","2208029597696","False",,,,"7835648","7835648",,
"Adobe Desktop Service","4","793","510099456","19939328","60153856","73000","C:\Program Files (x86)\Common Files\Adobe\Adobe Desktop Common\ADS\Adobe Desktop Service.exe","Adobe Inc.","7.515625","5.5.0.617","5.5.0.617","Creative Cloud","Adobe Creative Cloud","Process","6",,"False",,"1772","Microsoft.Win32.SafeHandles.SafeProcessHandle","793","16304",".","132626","","System.Diagnostics.ProcessModule (Adobe Desktop Service.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","73000","73000","60153856","60153856","701280","701280","120963072","120963072","132227072","132227072","648802304","648802304","True","BelowNormal","60153856","60153856","00:00:03.6562500","Adobe Desktop Service","255","True","4","System.Diagnostics.ProcessStartInfo","9/29/2021 8:36:20 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:07.5156250","00:00:03.8593750","510099456","510099456","False",,,,"19939328","19939328",,
"AdobeCollabSync","4","399","177971200","17944576","6656000","21472","D:\Adobe\Acrobat DC\Acrobat\AdobeCollabSync.exe","Adobe Systems Incorporated","5.671875","21.7.20091.452390","21.7.20091.452390","Adobe Collaboration Synchronizer 21.7","","Process","8",,"False",,"6452","Microsoft.Win32.SafeHandles.SafeProcessHandle","399","8284",".","0","","System.Diagnostics.ProcessModule (AdobeCollabSync.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","21472","21472","6656000","6656000","191440","191440","7139328","7139328","18296832","18296832","183218176","183218176","True","Normal","6656000","6656000","00:00:01.9687500","AdobeCollabSync","255","True","4","System.Diagnostics.ProcessStartInfo","9/29/2021 8:34:37 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:05.6718750","00:00:03.7031250","177971200","177971200","False",,,,"17944576","17944576",,
"AdobeCollabSync","4","281","169082880","13783040","4096000","15168","D:\Adobe\Acrobat DC\Acrobat\AdobeCollabSync.exe","Adobe Systems Incorporated","0.09375","21.7.20091.452390","21.7.20091.452390","Adobe Collaboration Synchronizer 21.7","","Process","8",,"False",,"6888","Microsoft.Win32.SafeHandles.SafeProcessHandle","281","16484",".","0","","System.Diagnostics.ProcessModule (AdobeCollabSync.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","15168","15168","4096000","4096000","205136","205136","4341760","4341760","13824000","13824000","176857088","176857088","True","Normal","4096000","4096000","00:00:00.0625000","AdobeCollabSync","255","True","4","System.Diagnostics.ProcessStartInfo","9/29/2021 8:34:36 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.0937500","00:00:00.0312500","169082880","169082880","False",,,,"13783040","13783040",,
"AdobeIPCBroker","4","431","124137472","6115328","7839744","27928","C:\Program Files (x86)\Common Files\Adobe\Adobe Desktop Common\IPCBox\AdobeIPCBroker.exe","Adobe Inc","2.296875","6.7.0.44","6.7.0.44","Adobe IPC Broker","Adobe IPC Broker","Process","6",,"False",,"4820","Microsoft.Win32.SafeHandles.SafeProcessHandle","431","13888",".","0","","System.Diagnostics.ProcessModule (AdobeIPCBroker.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","27928","27928","7839744","7839744","190800","190800","7966720","7966720","18432000","18432000","128856064","128856064","True","BelowNormal","7839744","7839744","00:00:00.6093750","AdobeIPCBroker","255","True","4","System.Diagnostics.ProcessStartInfo","9/29/2021 8:36:09 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:02.2968750","00:00:01.6875000","124137472","124137472","False",,,,"6115328","6115328",,
"AdobeNotificationClient","4","406","283119616","4423680","8810496","22888","C:\Program Files\WindowsApps\AdobeNotificationClient_2.0.1.8_x86__enpm4xejd91yc\AdobeNotificationClient.exe","Adobe Inc.","0.203125","5.2.0.121","5.2.0.121","Adobe Notification Client","Adobe Notification Client","Process","8",,"False",,"4740","Microsoft.Win32.SafeHandles.SafeProcessHandle","406","5776",".","0","","System.Diagnostics.ProcessModule (AdobeNotificationClient.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","22888","22888","8810496","8810496","456936","456936","9785344","9785344","37474304","37474304","308531200","308531200","True","Normal","8810496","8810496","00:00:00.0781250","AdobeNotificationClient","255","True","4","System.Diagnostics.ProcessStartInfo","9/29/2021 8:38:42 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.2031250","00:00:00.1250000","283119616","283119616","False",,,,"4423680","4423680",,
